Time,UserName,Tweet_text,All_Hashtags,Followers_count
2021-07-23 23:59:59,aaroncachua,_ayer1 yeah Covid is still real bud,[],269
2021-07-23 23:59:58,aominous2000,Keep an eye on COVID stats. https://t.co/okJ7JClKIz Ironically the coyote the baby and the teddy bear pictured have nothing to do with the story.,[],3375
2021-07-23 23:59:58,vancouverislgal,Good luck in your COVID cesspool.,[],0
2021-07-23 23:59:58,Alex_K_F_M,_04 Far more ppl will die from Covid then the incredibly small percentage of folks who experience post-injection complications You only care about a very small minority of folks versus society at large.,[],1035
2021-07-23 23:59:58,realchadstenzel,Sit on it https://t.co/jqL3soQBNx,[],808
2021-07-23 23:59:58,flyingsolo1111,We tried the War on Drugs we tried the War on Terrorism and we're trying the War on Covid Lots of profits to be made in failed wars https://t.co/aKxMuUIx2P,[],517
2021-07-23 23:59:57,alulamd,Saw only the picture So that wasn't covid protocol?,[],3246
2021-07-23 23:59:57,klactoveedsed,Yes Approximately .002 of Covid deaths in El Paso https://t.co/zya9tZ9Euo,[],202
2021-07-23 23:59:57,chuckaaa77,YouTube pulled yesterday's Chuck's Mangled News episode I am pissed They said it violated Local Medical and WHO guidelines for misinformation regarding Covid I'm like WTF Everybody on here knows I argue with Maskholes all day long about spreading bullshit Watch it 3times 1/,[],1215
2021-07-23 23:59:56,GaryB_WJTV,Hinds County Sheriff Lee Vance has tested positive for the Delta Variant of COVID-19 His message to all is to get vaccinated He says his symptoms are like a bad cold and feels he hasn’t suffered from more severe symptoms because of the vaccine https://t.co/xJlByheUQw,[],1056
2021-07-23 23:59:56,RougeMatisse,“People with compromised immune systems make up 2.7 percent of the population according to the C.D.C. and include those with cancer organ or stem cell transplants or H.I.V. among other conditions. Dossier complexe Beaucoup de nuances ds cet article https://t.co/VkHc2P0hU9,[],2170
2021-07-23 23:59:56,mallottk,As Australia's COVID crisis reaches boiling point Morrison seems unable to articulate what's wrong with our lack of policy https://t.co/1rRHWontpB,[],4135
